Metric,Value
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,1
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.2604010969447883
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.25985730969194754
timing__hold__ws__corner:max_ff_n40C_1v95,0.11991408205814039
timing__setup__ws__corner:max_ff_n40C_1v95,28.129655845285534
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.119914
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,22
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,22
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79997
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79999
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0000323031
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000336851
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.00000682143
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000336851
design_powergrid__voltage__worst,0.0000336851
design_powergrid__voltage__worst__net:VPWR,1.79997
design_powergrid__drop__worst,0.0000336851
design_powergrid__drop__worst__net:VPWR,0.0000323031
design_powergrid__voltage__worst__net:VGND,0.0000336851
design_powergrid__drop__worst__net:VGND,0.0000336851
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0000069600000000000002779699213861785977996987639926373958587646484375
ir__drop__worst,0.00003229999999999999906775960401006386746303178369998931884765625
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
